State,Area,Windfarm,WEC,PlantNo,WECType,StatusCode,Main code,sub code,Description,Frequency,Duration,Date,Month,Hour,Min,Sec,Total_hours
GJ,BHATIA,2140,GGLBM-06,6,E-48,67:501,67,501,Overtemperature:Thermoswitch heatsink inv.1,1,01:11:03,2023-08-01,Aug,1,11,3,1.19
GJ,BHATIA,2140,GGLBM-08,8,E-48,70:2,70,2,Generator overtemperature:Rotor,9,07:07:06,2023-08-01,Aug,7,7,6,7.13
GJ,BHATIA,2140,GGLBM-13,13,E-48,70:2,70,2,Generator overtemperature:Rotor,14,14:20:56,2023-08-01,Aug,14,20,56,14.49
GJ,BHATIA,2140,SDMLBM-02,16,E-48,15:1,15,1,Turbine moist:Inverter 1,1,00:00:42,2023-08-01,Aug,0,0,42,0.12
GJ,BHATIA,2140,SDMLBM-05,19,E-48,67:203,67,203,Overtemperature:Heatsink L2 inverter 3,15,06:52:42,2023-08-01,Aug,6,52,42,6.98
GJ,BHATIA,2140,SHREEBM-01,22,E-48,70:6,70,6,Generator overtemperature:Rotor (measurement blade B),1,00:16:58,2023-08-01,Aug,0,16,58,0.43
GJ,BHATIA,2140,SHREEBM-02,23,E-48,304:19,304,19,Turbine control bus error (Timeout):Blade C,1,03:31:38,2023-08-01,Aug,3,31,38,3.62
GJ,BHATIA,2140,SHREEBM-02,23,E-48,42:306,42,306,Pitch control error:Angle monitoring 56° blade C,1,00:27:39,2023-08-01,Aug,0,27,39,0.56
GJ,BHATIA,2140,SHREEBM-02,23,E-48,43:0,43,0,Main security circuit fault:Unknown,1,03:39:20,2023-08-01,Aug,3,39,20,3.71
GJ,BHATIA,2140,SHREEBM-02,23,E-48,70:2,70,2,Generator overtemperature:Rotor,8,05:39:33,2023-08-01,Aug,5,39,33,5.74
GJ,BHATIA,2485,ECCLNA-01,7,E-48,60:12,60,12,Mains failure:Undervoltage L2,2,03:15:12,2023-08-01,Aug,3,15,12,3.28
GJ,BHATIA,2485,ECCLNA-01,7,E-48,62:602,62,602,Feeding fault:Diff. phase current inverter 2,15,00:00:59,2023-08-01,Aug,0,0,59,0.16
GJ,BHATIA,2485,ECCLNA-01,7,E-48,66:13,66,13,Fault rectifier:Overvoltage  DC-link,2,09:07:40,2023-08-01,Aug,9,7,40,9.23
